Année;Polluant;Fuel;Emissions;Type de véhicule
1996;HAP;GNV;0.0;Poids lours
1997;HAP;GNV;0.0;Poids lours
1998;HAP;GNV;0.0;Poids lours
1999;HAP;GNV;0.0;Poids lours
2000;HAP;GNV;0.0;Poids lours
2001;HAP;GNV;0.0;Poids lours
2002;HAP;GNV;0.0;Poids lours
2003;HAP;GNV;0.0;Poids lours
2004;HAP;GNV;0.0;Poids lours
2005;HAP;GNV;0.0;Poids lours
2006;HAP;GNV;0.0;Poids lours
2007;HAP;GNV;0.0;Poids lours
2008;HAP;GNV;0.0;Poids lours
2009;HAP;GNV;0.0;Poids lours
1990;PCDD-F;GNV;0.0;Poids lours
1991;PCDD-F;GNV;0.0;Poids lours
1992;PCDD-F;GNV;0.0;Poids lours
1993;PCDD-F;GNV;0.0;Poids lours
1994;PCDD-F;GNV;0.0;Poids lours
1995;PCDD-F;GNV;0.0;Poids lours
1996;PCDD-F;GNV;0.0;Poids lours
1997;PCDD-F;GNV;0.0;Poids lours
1998;PCDD-F;GNV;0.0;Poids lours
1999;PCDD-F;GNV;0.0;Poids lours
2000;PCDD-F;GNV;0.0;Poids lours
2001;PCDD-F;GNV;0.0;Poids lours
2002;PCDD-F;GNV;0.0;Poids lours
2003;PCDD-F;GNV;0.0;Poids lours
2004;PCDD-F;GNV;0.0;Poids lours
2005;PCDD-F;GNV;0.0;Poids lours
2006;PCDD-F;GNV;0.0;Poids lours
2007;PCDD-F;GNV;0.0;Poids lours
2008;PCDD-F;GNV;0.0;Poids lours
2009;PCDD-F;GNV;0.0;Poids lours
1990;SO2;GNV;0.0;Poids lours
1991;SO2;GNV;0.0;Poids lours
1992;SO2;GNV;0.0;Poids lours
1993;SO2;GNV;0.0;Poids lours
1994;SO2;GNV;0.0;Poids lours
1995;SO2;GNV;0.0;Poids lours
1996;SO2;GNV;0.0;Poids lours
1997;SO2;GNV;0.0;Poids lours
1998;SO2;GNV;0.0;Poids lours
1999;SO2;GNV;0.0;Poids lours
2000;SO2;GNV;0.0;Poids lours
2001;SO2;GNV;0.0;Poids lours
2002;SO2;GNV;0.0;Poids lours
2003;SO2;GNV;0.0;Poids lours
2004;SO2;GNV;0.0;Poids lours
2005;SO2;GNV;0.0;Poids lours
2006;SO2;GNV;0.0;Poids lours
2007;SO2;GNV;0.0;Poids lours
2008;SO2;GNV;0.0;Poids lours
2009;SO2;GNV;0.0;Poids lours
1990;Ni;GNV;0.0;Poids lours
1991;Ni;GNV;0.0;Poids lours
1992;Ni;GNV;0.0;Poids lours
1993;Ni;GNV;0.0;Poids lours
1994;Ni;GNV;0.0;Poids lours
1995;Ni;GNV;0.0;Poids lours
1996;Ni;GNV;0.0;Poids lours
1997;Ni;GNV;0.0;Poids lours
1998;Ni;GNV;0.0;Poids lours
1999;Ni;GNV;0.0;Poids lours
2000;Ni;GNV;0.0;Poids lours
2001;Ni;GNV;0.0;Poids lours
2002;Ni;GNV;0.0;Poids lours
2003;Ni;GNV;0.0;Poids lours
2004;Ni;GNV;0.0;Poids lours
2005;Ni;GNV;0.0;Poids lours
2006;Ni;GNV;0.0;Poids lours
2007;Ni;GNV;0.0;Poids lours
2008;Ni;GNV;0.0;Poids lours
2009;Ni;GNV;0.0;Poids lours
1990;benzène;GNV;0.0;Poids lours
1991;benzène;GNV;0.0;Poids lours
1992;benzène;GNV;0.0;Poids lours
1993;benzène;GNV;0.0;Poids lours
1994;benzène;GNV;0.0;Poids lours
