Année;Régions;Départements;Fuel;Nb_véhicules
2012;Occitanie;Gers;Gazole;27586
2012;Occitanie;Lozère;Gazole;11993
2012;Pays de la Loire;Vendée;Gazole;81088
2012;Pays de la Loire;Mayenne;Gazole;34433
2012;Pays de la Loire;Sarthe;Gazole;56428
2012;Pays de la Loire;Maine-et-Loire;Gazole;80773
2012;Pays de la Loire;Loire-Atlantique;Gazole;141081
2012;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Gazole;93057
2012;Provence-Alpes-Côte d'Azur;Vaucluse;Gazole;71970
2012;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Gazole;190513
2012;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gazole;18077
2012;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Gazole;20149
2012;Provence-Alpes-Côte d'Azur;Var;Gazole;101379
2012;Île-de-France;Essonne;Gazole;96808
2012;Île-de-France;Val-d'Oise;Gazole;94516
2012;Île-de-France;Seine-et-Marne;Gazole;108917
2012;Île-de-France;Seine-Saint-Denis;Gazole;141950
2012;Île-de-France;Paris;Gazole;126946
2012;Île-de-France;Hauts-de-Seine;Gazole;125430
2012;Île-de-France;Val-de-Marne;Gazole;91340
2012;Île-de-France;Yvelines;Gazole;107520
2013;Auvergne-Rhône-Alpes;Ain;Gazole;61973
2013;Auvergne-Rhône-Alpes;Allier;Gazole;36246
2013;Auvergne-Rhône-Alpes;Haute-Loire;Gazole;27304
2013;Auvergne-Rhône-Alpes;Savoie;Gazole;53614
2013;Auvergne-Rhône-Alpes;Rhône;Gazole;195145
2013;Auvergne-Rhône-Alpes;Ardèche;Gazole;36458
2013;Auvergne-Rhône-Alpes;Puy-de-Dôme;Gazole;65952
2013;Auvergne-Rhône-Alpes;Haute-Savoie;Gazole;79855
2013;Auvergne-Rhône-Alpes;Loire;Gazole;77889
2013;Auvergne-Rhône-Alpes;Drôme;Gazole;64084
2013;Auvergne-Rhône-Alpes;Cantal;Gazole;19803
2013;Auvergne-Rhône-Alpes;Isère;Gazole;126954
2013;Bourgogne-Franche-Comté;Doubs;Gazole;50600
2013;Bourgogne-Franche-Comté;Côte-d'Or;Gazole;58714
2013;Bourgogne-Franche-Comté;Haute-Saône;Gazole;25967
2013;Bourgogne-Franche-Comté;Yonne;Gazole;40067
2013;Bourgogne-Franche-Comté;Jura;Gazole;29479
2013;Bourgogne-Franche-Comté;Nièvre;Gazole;23408
2013;Bourgogne-Franche-Comté;Saône-et-Loire;Gazole;61602
2013;Bourgogne-Franche-Comté;Territoire de Belfort;Gazole;10267
2013;Bretagne;Ille-et-Vilaine;Gazole;108555
2013;Bretagne;Morbihan;Gazole;81286
2013;Bretagne;Côtes-d'Armor;Gazole;70408
2013;Bretagne;Finistère;Gazole;99115
2013;Centre-Val de Loire;Loir-et-Cher;Gazole;37786
2013;Centre-Val de Loire;Loiret;Gazole;70364
2013;Centre-Val de Loire;Indre-et-Loire;Gazole;63704
2013;Centre-Val de Loire;Eure-et-Loir;Gazole;46118
2013;Centre-Val de Loire;Indre;Gazole;27919
2013;Centre-Val de Loire;Cher;Gazole;33165
2013;Corse;Corse-du-Sud;Gazole;22961
2013;Corse;Haute-Corse;Gazole;25228
2013;Grand Est;Bas-Rhin;Gazole;95535
2013;Grand Est;Vosges;Gazole;38868
2013;Grand Est;Marne;Gazole;80365
2013;Grand Est;Meurthe-et-Moselle;Gazole;61541
2013;Grand Est;Haute-Marne;Gazole;19876
2013;Grand Est;Meuse;Gazole;19139
2013;Grand Est;Aube;Gazole;34551
2013;Grand Est;Haut-Rhin;Gazole;62671
2013;Grand Est;Moselle;Gazole;77875
2013;Grand Est;Ardennes;Gazole;25621
2013;Hauts-de-France;Somme;Gazole;54109
2013;Hauts-de-France;Nord;Gazole;181994
2013;Hauts-de-France;Oise;Gazole;97221
2013;Hauts-de-France;Aisne;Gazole;51270
2013;Hauts-de-France;Pas-de-Calais;Gazole;108413
2013;Normandie;Eure;Gazole;57632
2013;Normandie;Orne;Gazole;35901
2013;Normandie;Manche;Gazole;57183
2013;Normandie;Seine-Maritime;Gazole;135085
2013;Normandie;Calvados;Gazole;71419
2013;Nouvelle-Aquitaine;Landes;Gazole;45317
2013;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Gazole;70768
2013;Nouvelle-Aquitaine;Dordogne;Gazole;52763
2013;Nouvelle-Aquitaine;Vienne;Gazole;47412
2013;Nouvelle-Aquitaine;Gironde;Gazole;155784
2013;Nouvelle-Aquitaine;Deux-Sèvres;Gazole;50400
2013;Nouvelle-Aquitaine;Haute-Vienne;Gazole;37966
2013;Nouvelle-Aquitaine;Creuse;Gazole;15427
2013;Nouvelle-Aquitaine;Corrèze;Gazole;29266
2013;Nouvelle-Aquitaine;Lot-et-Garonne;Gazole;43305
2013;Nouvelle-Aquitaine;Charente;Gazole;40938
2013;Nouvelle-Aquitaine;Charente-Maritime;Gazole;74132
2013;Occitanie;Hérault;Gazole;109924
2013;Occitanie;Pyrénées-Orientales;Gazole;43148
2013;Occitanie;Tarn;Gazole;40318
2013;Occitanie;Ariège;Gazole;16985
2013;Occitanie;Gard;Gazole;79440
2013;Occitanie;Aveyron;Gazole;38689
2013;Occitanie;Haute-Garonne;Gazole;121907
2013;Occitanie;Lot;Gazole;23491
2013;Occitanie;Aude;Gazole;39433
2013;Occitanie;Tarn-et-Garonne;Gazole;30147
2013;Occitanie;Hautes-Pyrénées;Gazole;24019
2013;Occitanie;Gers;Gazole;27774
2013;Occitanie;Lozère;Gazole;11991
