Année;Régions;Départements;Fuel;Nb_véhicules
2013;Grand Est;Haute-Marne;Essence+Superéthanol;24088
2013;Grand Est;Meuse;Essence+Superéthanol;25045
2013;Grand Est;Aube;Essence+Superéthanol;45549
2013;Grand Est;Haut-Rhin;Essence+Superéthanol;161136
2013;Grand Est;Moselle;Essence+Superéthanol;186566
2013;Grand Est;Ardennes;Essence+Superéthanol;35732
2013;Hauts-de-France;Somme;Essence+Superéthanol;72618
2013;Hauts-de-France;Nord;Essence+Superéthanol;363409
2013;Hauts-de-France;Oise;Essence+Superéthanol;174293
2013;Hauts-de-France;Aisne;Essence+Superéthanol;80445
2013;Hauts-de-France;Pas-de-Calais;Essence+Superéthanol;183420
2013;Normandie;Eure;Essence+Superéthanol;84340
2013;Normandie;Orne;Essence+Superéthanol;35956
2013;Normandie;Manche;Essence+Superéthanol;65716
2013;Normandie;Seine-Maritime;Essence+Superéthanol;222606
2013;Normandie;Calvados;Essence+Superéthanol;106750
2013;Nouvelle-Aquitaine;Landes;Essence+Superéthanol;63193
2013;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Essence+Superéthanol;122705
2013;Nouvelle-Aquitaine;Dordogne;Essence+Superéthanol;57414
2013;Nouvelle-Aquitaine;Vienne;Essence+Superéthanol;60322
2013;Nouvelle-Aquitaine;Gironde;Essence+Superéthanol;262748
2013;Nouvelle-Aquitaine;Deux-Sèvres;Essence+Superéthanol;63497
2013;Nouvelle-Aquitaine;Haute-Vienne;Essence+Superéthanol;61047
2013;Nouvelle-Aquitaine;Creuse;Essence+Superéthanol;15220
2013;Nouvelle-Aquitaine;Corrèze;Essence+Superéthanol;38538
2013;Nouvelle-Aquitaine;Lot-et-Garonne;Essence+Superéthanol;43787
2013;Nouvelle-Aquitaine;Charente;Essence+Superéthanol;48729
2013;Nouvelle-Aquitaine;Charente-Maritime;Essence+Superéthanol;100393
2013;Occitanie;Hérault;Essence+Superéthanol;189356
